SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
0.358554,0.004507696
0.94465363,0.0054033645
0.29916406,0.008640736
2.0398607,0.0053767464
0.5721353,0.004086322
0.5797145,0.005304852
3.2121918,0.01872494
0.20339465,0.0065973243
1.4891614,0.019283924
0.76195467,0.0033501892
0.0,0.017863857
0.4053253,0.0047761165
0.8462798,0.004035746
0.8258897,0.003987115
0.12679566,0.005117197
0.569029,0.0055351774
0.37337366,0.0046717953
0.43953818,0.00442834
0.7478899,0.006874611
0.1319419,0.007042628
0.123741835,0.0057525267
0.9933654,0.0053330213
0.35508537,0.0053261775
0.18232214,0.006774993
0.30550292,0.0056389663
0.75177956,0.0048609013
1.0739111,0.005451523
0.7335914,0.0042245896
0.4820383,0.005017546
0.30980873,0.005622712
0.31005862,0.0056525515
0.766712,0.004948287
0.3764794,0.0052811485
1.1938416,0.0033426278
0.9894013,0.0036287473
0.27641535,0.005919594
0.3475557,0.0046180934
0.3999691,0.0042440435
0.17339851,0.0050022504
0.4454196,0.004785246
0.60465014,0.0046897796
0.2623272,0.005928308
0.21928836,0.0054226397
0.5369019,0.0032408878
0.87968254,0.0087919235
0.82231444,0.0046256124
0.52098465,0.0048047714
0.27914545,0.0047540013
0.45781505,0.0061923102
0.4425049,0.0068644322
0.3730931,0.005822259
0.36094582,0.006124846
0.52492225,0.00549486
0.2827365,0.0057909824
0.39576542,0.005268479
0.39311194,0.0040703868
0.36666593,0.004949639
0.57238483,0.004850722
0.055129852,0.007157547
1.1850246,0.0031242461
0.5139869,0.0046301377
0.34917954,0.005857388
0.55287933,0.004516778
0.10149951,0.0067577856
0.54199916,0.005418233
5.0970707,0.016875217
0.0894653,0.006745716
0.8147562,0.0056094974
0.19350976,0.0066802665
0.51022196,0.004720078
0.29215732,0.0054030083
0.8327117,0.005428247
0.48648775,0.0057610264
0.88273376,0.0064142183
0.3124276,0.005966607
0.54149663,0.004645575
0.58314973,0.004308538
0.06848813,0.006038558
0.53091264,0.0066249454
1.466463,0.0112006245
0.68334776,0.004860875
0.6077195,0.0049279463
0.29697093,0.0059664613
0.12568201,0.0069950316
4.3735695,0.0042154565
0.46089512,0.0063855737
0.813796,0.00677724
0.44759363,0.0057887402
1.0735106,0.0052865706
0.6006092,0.0054518096
0.41146073,0.0060457624
0.027231092,0.009719087
0.43575847,0.007539624
0.8073502,0.004850485
0.52462506,0.004791401
0.9771512,0.006337167
0.17715363,0.0058771838
0.48293698,0.0056828014
0.29672635,0.006050096
0.5379756,0.0060576843
0.5065078,0.0044975267
0.38726056,0.0046639
0.421986,0.0053836913
0.8356747,0.0031749995
0.99052835,0.0040205084
0.25938028,0.0052272584
0.27346316,0.0051355027
0.4079125,0.0050232443
0.8454885,0.0031638453
0.8125829,0.0057553146
0.3976561,0.0052216104
0.77168375,0.0055973656
0.61701185,0.004005246
0.70989066,0.0028817109
0.24017031,0.007331175
0.23470435,0.009736279
0.5089156,0.004617212
0.33040288,0.005327144
0.24792428,0.004853868
0.6068091,0.0056329053
0.8445007,0.0046256827
1.2610132,0.00834898
0.4678022,0.0037032056
1.4450568,0.020534182
0.47859365,0.0058415593
0.2537796,0.008050223
0.20676193,0.0060637025
0.01754443,0.013810044
0.92939526,0.008047742
0.53911924,0.0044516493
2.9725883,0.00579957
1.989518,0.0032962011
0.51518893,0.005284965
0.5628888,0.004439629
0.5435221,0.0035414211
4.5685315,0.0067929383
2.7705462,0.010901848
0.81470215,0.005829337
2.7566884,0.0068012737
0.4224857,0.005925138
0.09207049,0.007423485
1.4087908,0.0016162974
0.0,0.0066850604
0.19054204,0.0055103423
0.80765694,0.003979117
0.5658327,0.0051875995
1.0457652,0.004071669
0.15273593,0.006263555
0.5542723,0.0052776146
1.0923883,0.0025672356
0.37434182,0.0039601605
0.7367548,0.004437648
0.8887739,0.0026841008
0.6080241,0.0046433024
1.1422433,0.022185521
0.5718027,0.005470746
0.50625724,0.0046782186
0.48268533,0.005998363
0.93950003,0.0060007735
0.34228703,0.006777568
0.42369422,0.005725336
0.5415195,0.005722698
0.78103685,0.0052633635
0.0,0.0066818646
1.1302773,0.0041907537
0.31405386,0.0053007496
0.0618475,0.007648329
1.7787923,0.0090923095
1.405842,0.00438331
1.5382547,0.0070856926
0.89420426,0.0037587287
0.996771,0.0063931188
0.40959176,0.006328384
0.22693902,0.0063575674
0.952011,0.0020994253
0.67554015,0.005139157
0.73804885,0.0044948678
0.41224182,0.0057481276
0.39244965,0.0059097703
0.85174227,0.0032493027
0.39123344,0.004657422
0.5882013,0.0062753703
0.33079278,0.005102438
0.25287503,0.0053765057
0.5618878,0.0024071662
1.0398009,0.0077074454
0.6173565,0.003654587
0.33446774,0.005598988
0.485599,0.0045504817
0.78973114,0.0033288365
0.40496242,0.006099626
1.9141163,0.0053899935
0.38548928,0.0057991543
0.24131231,0.0055571953
0.38960147,0.004221676
0.29756898,0.0047652456
0.259831,0.0066983313
0.40090516,0.004938977
0.46845633,0.004859386
0.71996707,0.0042658537
0.5911774,0.00522926
1.1271399,0.0032665017
0.68828946,0.003395441
0.22631232,0.0061489083
2.7582796,0.010204271
1.3073524,0.0020676826
0.7955599,0.003947031
0.7680018,0.0054901387
0.81925213,0.0031359913
0.68448335,0.004969026
0.8719592,0.0071412246
0.80507517,0.0063101444
0.24536784,0.004701079
1.1257002,0.004532135
0.5528727,0.005609418
0.55998206,0.0032646623
0.19462833,0.004847989
0.26172835,0.006036673
0.26493073,0.0042378427
0.2680029,0.0049270033
0.72447425,0.0031290883
0.6155186,0.005351962
0.6562147,0.0050822883
0.4936695,0.005062596
0.9318848,0.0034989817
0.6966363,0.004399336
0.39934218,0.0057590967
0.25180122,0.006799136
1.3421763,0.013179783
1.3709055,0.008183654
0.8375932,0.0044913
1.0777277,0.004266281
0.78802806,0.0063913506
0.46245104,0.005296569
0.38410768,0.0049839155
0.21737821,0.0056210463
0.70127153,0.005261187
0.31958327,0.0056379265
0.23815359,0.0074402955
0.63607025,0.0041343705
0.53288054,0.0050905924
0.20263572,0.005792762
1.9891349,0.006890488
0.2810949,0.005765069
0.7879125,0.0039205337
0.90454024,0.006539957
0.49514493,0.0044640787
0.97333807,0.0048551415
0.789442,0.0052338354
0.2818188,0.0037899702
0.7659969,0.0041630506
1.2551267,0.0070218863
1.9656327,0.0078228
