SFR [Msun / yr],Stellar Metallicity [Mz/Mtot]
1.0387949,0.00406336
0.57681245,0.0048384895
0.43635207,0.0054971194
0.61898106,0.004103407
0.5224261,0.0045972345
0.5271469,0.004904813
0.41048342,0.0059058294
1.1727167,0.004877374
0.27448753,0.00435656
0.58225995,0.004379869
0.7141814,0.0061684744
0.81250733,0.00779614
0.6185121,0.005255041
1.7496903,0.005967142
0.42857727,0.0056556673
0.8025579,0.0033512153
0.3323229,0.0058836783
0.5754631,0.004178295
0.51928747,0.0056842254
1.0113323,0.0021049143
0.6083708,0.0058295317
0.40203488,0.0048224907
0.7023622,0.003246736
1.0592291,0.0050582443
0.58517134,0.0040627895
0.262283,0.0029955006
0.7596937,0.0078004315
0.70664394,0.0057287184
0.7093952,0.003419755
0.5497374,0.0052382755
0.63240343,0.0025256993
0.8110722,0.0044351323
0.73218346,0.007026066
0.7143406,0.005111554
0.83529955,0.005489597
0.57235265,0.0029387185
0.48724735,0.0064855423
0.8950194,0.004812698
1.5996908,0.0026874917
0.52825654,0.0055784374
0.8244566,0.0031025233
